Objekt,Cleaning1,Cleaning1Frequency,Cleaning1LastDate,Cleaning1NextDate,Cleaning2,Cleaning2Frequency,Cleaning2LastDate,Cleaning2NextDate,Area,Typ,MoveBothObjects,WillBeEmailed,PufNamn,Active
JT 51,Lutdisk,14,2019-05-09,2019-05-23,,,,,Jäskällaren,Vanlig,FALSE,FALSE,SUB_OBJECT=51,
Byt ut blåa rengöringsverktyg (Jäskällaren),Genomförd,1440,2017-05-07,2021-04-16,,,,,Jäskällaren,Sällan,FALSE,TRUE,SUB_OBJECT=,
LT 31,Syradisk,14,2018-05-08,2018-05-22,Lutdisk,180,2018-05-08,2018-11-04,Lagerkällaren,Vanlig,FALSE,FALSE,SUB_OBJECT=31,
JT 53,Lutdisk,14,2019-05-10,2019-05-24,,,,,Jäskällaren,Vanlig,FALSE,FALSE,SUB_OBJECT=53,
JT 52,Lutdisk,14,2018-10-24,2018-11-07,,,,,Jäskällaren,Vanlig,FALSE,FALSE,SUB_OBJECT=52,
JT 57,Lutdisk,14,2019-05-10,2019-05-24,,,,,Jäskällaren,Vanlig,FALSE,FALSE,SUB_OBJECT=57,
JT 56,Lutdisk,14,2019-05-09,2019-05-23,,,,,Jäskällaren,Vanlig,FALSE,FALSE,SUB_OBJECT=56,
JT 58,Lutdisk,14,2018-08-20,2018-09-03,,,,,Jäskällaren,Vanlig,FALSE,FALSE,SUB_OBJECT=58,
JT 54,Lutdisk,14,2019-05-10,2019-05-24,,,,,Jäskällaren,Vanlig,FALSE,FALSE,SUB_OBJECT=54,
JT 59,Lutdisk,14,2019-05-15,2019-05-29,,,,,Jäskällaren,Vanlig,FALSE,FALSE,SUB_OBJECT=59,
JT 61,Lutdisk,14,2018-10-07,2018-10-21,,,,,Jäskällaren,Vanlig,FALSE,FALSE,SUB_OBJECT=61,
JT 60,Lutdisk,14,2018-09-21,2018-10-05,,,,,Jäskällaren,Vanlig,FALSE,FALSE,SUB_OBJECT=60,
JT 62,Lutdisk,14,2019-05-21,2019-06-04,,,,,Jäskällaren,Vanlig,FALSE,FALSE,SUB_OBJECT=62,
JT 63,Lutdisk,14,2018-08-29,2018-09-12,,,,,Jäskällaren,Vanlig,FALSE,FALSE,SUB_OBJECT=63,
