Objekt	Date	CleaningType
BBT 325	2017-04-04	Lutdisk
BBT 318	2017-04-05	Lutdisk
BBT 308	2017-04-05	Lutdisk
BBT 316	2017-04-05	Lutdisk
BBT 311	2017-04-05	Syradisk
BBT 304	2017-04-07	Syradisk
BBT 321	2017-04-07	Syradisk
BBT 310	2017-04-07	Lutdisk
T45	2017-04-07	Lutdisk
BBT 325	2017-04-09	Syradisk
BBT 307	2017-04-09	Lutdisk
T34	2017-04-09	Lutdisk
BBT 305	2017-04-09	Syradisk
BBT 322	2017-04-09	Lutdisk
BBT 323	2017-04-10	Lutdisk
BBT 320	2017-04-10	Syradisk
BBT 324	2017-04-10	Lutdisk
BBT 317	2017-04-11	Syradisk
BBT 310	2017-04-11	Syradisk
BBT 311	2017-04-11	Syradisk
BBT 312	2017-04-12	Syradisk
Filtret	2017-04-12	Rengjord
T34	2017-04-12	Syradisk
BBT 315	2017-04-12	Lutdisk
BBT 313	2017-04-12	Syradisk
BBT 309	2017-04-13	Syradisk
BBT 318	2017-04-13	Syradisk
BBT 321	2017-04-13	Lutdisk
T45	2017-04-13	Lutdisk
Aldox	2017-04-14	Syradisk
Maltax	2017-04-14	Rengjord
Filtret-Veckoavslut	2017-04-14	Lutsterilning
Vattenfilter	2017-04-14	Syradisk
T34	2017-04-14	Lutdisk
T45	2017-04-14	Lutdisk
Gamla runtkörningen	2017-04-14	Totaldisk
BBT 321	2017-04-14	Lutdisk
T34	2017-04-16	Lutdisk
T45	2017-04-16	Lutdisk
Filtret-Veckoavslut	2017-04-16	Lutsterilning
BBT 304	2017-04-16	Lutdisk
BBT 322	2017-04-16	Syradisk
BBT 325	2017-04-16	Syradisk
BBT 307	2017-04-16	Syradisk
BBT 314	2017-04-17	Syradisk
BBT 317	2017-04-17	Lutdisk
BBT 323	2017-04-17	Syradisk
BBT 319	2017-04-17	Lutdisk
BBT 311	2017-04-17	Lutdisk
BBT 308	2017-04-17	Syradisk
BBT 321	2017-04-18	Syradisk
BBT 312	2017-04-18	Syradisk
BBT 318	2017-04-18	Syradisk
BBT 310	2017-04-19	Syradisk
BBT 306	2017-04-19	Lutdisk
BBT 315	2017-04-19	Syradisk
BBT 309	2017-04-20	Syradisk
BBT 313	2017-04-20	Lutdisk
BBT 305	2017-04-20	Syradisk
T34	2017-04-21	Syradisk
T45	2017-04-21	Lutdisk
Filtret-Veckoavslut	2017-04-23	Lutsterilning
Maltax	2017-04-23	Rengjord
BBT 310	2017-04-23	Syradisk
BBT 324	2017-04-23	Syradisk
Aldox	2017-04-23	Syradisk
BBT 304	2017-04-23	Syradisk
BBT 305	2017-04-23	Lutdisk
BBT 307	2017-04-23	Syradisk
BBT 313	2017-04-23	Lutdisk
BBT 322	2017-04-23	Syradisk
BBT 319	2017-04-24	Syradisk
BBT 316	2017-04-24	Syradisk
BBT 311	2017-04-24	Syradisk
BBT 323	2017-04-25	Syradisk
BBT 314	2017-04-25	Lutdisk
BBT 315	2017-04-26	Syradisk
BBT 304	2017-04-26	Lutdisk
BBT 318	2017-04-27	Lutdisk
BBT 312	2017-04-27	Lutdisk
BBT 308	2017-04-27	Lutdisk
BBT 321	2017-04-27	Lutdisk
Gurtank T66	2017-04-27	Syradisk
Gurtank T67	2017-04-28	Syradisk
Gurtank T66	2017-04-28	Syradisk
302 Vattentank	2017-04-28	Lutdisk
301 Vattentank	2017-04-28	Lutdisk
BBT 311	2017-04-28	Syradisk
303 Vattentank	2017-04-28	Lutdisk
Aldox	2017-04-28	Syradisk
Maltax	2017-04-28	Rengjord
Vattenfilter	2017-04-28	Syradisk
Filtret-Veckoavslut	2017-04-28	Lutsterilning
T34	2017-04-28	Syradisk
T45	2017-04-28	Syradisk
BBT 306	2017-04-28	Lutdisk
BBT 322	2017-04-30	Lutdisk
BBT 310	2017-04-30	Lutdisk
BBT 313	2017-04-30	Syradisk
BBT 317	2017-04-30	Syradisk
BBT 307	2017-04-30	Lutdisk
BBT 309	2017-05-01	Lutdisk
BBT 316	2017-05-01	Lutdisk
BBT 321	2017-05-01	Syradisk
BBT 314	2017-05-01	Syradisk
BBT 325	2017-05-02	Lutdisk
BBT 304	2017-05-02	Syradisk
BBT 323	2017-05-02	Lutdisk
BBT 308	2017-05-02	Syradisk
BBT 315	2017-05-03	Lutdisk
BBT 305	2017-05-03	Syradisk
BBT 312	2017-05-04	Syradisk
BBT 318	2017-05-05	Syradisk
BBT 306	2017-05-05	Syradisk
BBT 311	2017-05-05	Syradisk
BBT 315	2017-05-05	Syradisk
BBT 317	2017-05-05	Syradisk
T45	2017-05-07	Syradisk
Filtret-Veckoavslut	2017-05-07	Lutsterilning
T34	2017-05-07	Syradisk
BBT 310	2017-05-07	Syradisk
BBT 313	2017-05-07	Syradisk
BBT 309	2017-05-08	Syradisk
BBT 314	2017-05-08	Syradisk
BBT 324	2017-05-08	Lutdisk
BBT 325	2017-05-09	Syradisk
BBT 308	2017-05-09	Syradisk
BBT 304	2017-05-09	Syradisk
BBT 316	2017-05-09	Syradisk
BBT 318	2017-05-09	Syradisk
BBT 307	2017-05-09	Syradisk
BBT 306	2017-05-10	Syradisk
BBT 309	2017-05-11	Syradisk
BBT 322	2017-05-11	Syradisk
BBT 304	2017-05-11	Syradisk
BBT 305	2017-05-12	Syradisk
Stora balanssystemet (1)	2017-05-12	Lutdisk
Filtret	2017-05-12	Rengjord
T34	2017-05-12	Syradisk
T45	2017-05-12	Lutdisk
Filtret-Veckoavslut	2017-05-12	Lutsterilning
